grade,sex,ever_smoked,ever_vaped,n,year
12.0,M,0.5237341772151899,0.05982905982905983,1287,2011
13.0,F,1.0,0.0,5,2011
13.0,M,0.5555555555555556,0.2,10,2011
6.0,F,0.05865921787709497,0.013706140350877192,1824,2012
6.0,M,0.08557323093801426,0.011739594450373533,1874,2012
7.0,F,0.12040302267002519,0.02391629297458894,2007,2012
7.0,M,0.13618090452261306,0.02759980285855101,2029,2012
8.0,F,0.1888147768086198,0.03306205493387589,1966,2012
8.0,M,0.21741397288842546,0.03618756371049949,1962,2012
9.0,F,0.27161997563946405,0.060204695966285374,1661,2012
9.0,M,0.30407124681933845,0.071875,1600,2012
10.0,F,0.31094527363184077,0.07054455445544554,1616,2012
10.0,M,0.39360978925900747,0.11690046760187041,1497,2012
11.0,F,0.37852760736196317,0.08338405356055995,1643,2012
11.0,M,0.42651469706058787,0.13411764705882354,1700,2012
12.0,F,0.4278145695364238,0.0967741935483871,1519,2012
12.0,M,0.4899205864386072,0.16616496086694763,1661,2012
13.0,F,0.9,0.23076923076923078,13,2012
13.0,M,0.9,0.5454545454545454,11,2012
6.0,F,0.07199367088607594,0.01471727343144849,1291,2013
6.0,M,0.08928571428571429,0.018615040953090096,1343,2013
7.0,F,0.13122171945701358,0.02714600146735143,1363,2013
7.0,M,0.13380281690140844,0.033860045146726865,1329,2013
8.0,F,0.19236417033773862,0.04844540853217643,1383,2013
8.0,M,0.2154981549815498,0.04925053533190578,1401,2013
9.0,F,0.27129337539432175,0.08062015503875969,1290,2013
9.0,M,0.2811526479750779,0.08320839580209895,1334,2013
10.0,F,0.324407039020658,0.07530120481927711,1328,2013
10.0,M,0.3522633744855967,0.11605723370429252,1258,2013
11.0,F,0.35289323553382235,0.08821170809943865,1247,2013
11.0,M,0.39917355371900826,0.1269968051118211,1252,2013
12.0,F,0.40643033800494643,0.11607142857142858,1232,2013
12.0,M,0.45477178423236514,0.1756214915797915,1247,2013
13.0,F,0.8888888888888888,0.2857142857142857,14,2013
13.0,M,0.7368421052631579,0.4,20,2013
6.0,F,0.06433479075577764,0.061387354205033766,1629,2014
6.0,M,0.0830860534124629,0.06748109365910412,1719,2014
7.0,F,0.10595238095238095,0.09451575262543757,1714,2014
7.0,M,0.12222853894258101,0.11589403973509933,1812,2014
8.0,F,0.15153267784846733,0.13657142857142857,1750,2014
8.0,M,0.16435185185185186,0.161547212741752,1758,2014
9.0,F,0.23294629898403482,0.20845272206303725,1396,2014
9.0,M,0.25240715268225583,0.2371967654986523,1484,2014
10.0,F,0.2822128851540616,0.23039555863983344,1441,2014
10.0,M,0.32625085675119947,0.2945527908540686,1487,2014
11.0,F,0.3252391464311994,0.25601750547045954,1371,2014
11.0,M,0.39731827805222303,0.33147632311977715,1436,2014
12.0,F,0.34574468085106386,0.25150602409638556,1328,2014
12.0,M,0.4262177650429799,0.33216538192011213,1427,2014
13.0,F,0.8,0.3333333333333333,6,2014
13.0,M,0.7142857142857143,0.2222222222222222,9,2014
6.0,F,0.05242255758538523,0.060126582278481014,1264,2015
6.0,M,0.06530291109362707,0.07981220657276995,1278,2015
7.0,F,0.09359605911330049,0.12517482517482517,1430,2015
7.0,M,0.10801144492131616,0.14489650249821556,1401,2015
8.0,F,0.15190784737221022,0.20201294033069733,1391,2015
8.0,M,0.14243759177679882,0.22783882783882783,1365,2015
9.0,F,0.20725806451612902,0.2580385852090032,1244,2015
9.0,M,0.21468475658419792,0.307753164556962,1264,2015
10.0,F,0.2593516209476309,0.35572139303482586,1206,2015
10.0,M,0.29914529914529914,0.38425925925925924,1296,2015
11.0,F,0.2965328467153285,0.3424408014571949,1098,2015
11.0,M,0.3550042771599658,0.42759795570698467,1174,2015
12.0,F,0.35507246376811596,0.41838842975206614,968,2015
12.0,M,0.4527320034692108,0.47965367965367967,1155,2015
13.0,F,0.7777777777777778,0.5555555555555556,9,2015
13.0,M,0.625,0.3333333333333333,9,2015
6.0,F,0.049273531269740996,0.05471698113207547,1590,2016
6.0,M,0.07292954264524104,0.08415233415233415,1628,2016
7.0,F,0.09737347853939782,0.12555485098287889,1577,2016
7.0,M,0.0941320293398533,0.12318840579710146,1656,2016
8.0,F,0.1426675514266755,0.1579643093192333,1513,2016
8.0,M,0.16272009714632665,0.20205686630369027,1653,2016
9.0,F,0.18990203466465713,0.21503759398496242,1330,2016
9.0,M,0.20186113099498926,0.25624553890078516,1401,2016
10.0,F,0.2318313953488372,0.2679738562091503,1377,2016
10.0,M,0.23380281690140844,0.30995792426367463,1426,2016
11.0,F,0.2679389312977099,0.2757044935262757,1313,2016
11.0,M,0.3226765799256506,0.37472283813747226,1353,2016
12.0,F,0.3027185892725937,0.3294203961848863,1363,2016
12.0,M,0.357032457496136,0.35642802155504233,1299,2016
13.0,F,0.42857142857142855,0.42857142857142855,7,2016
13.0,M,0.25,0.5,8,2016
6.0,F,0.05762987012987013,0.05501618122977346,1236,2017
6.0,M,0.05877680698967434,0.07075471698113207,1272,2017
7.0,F,0.08091603053435115,0.09665144596651445,1314,2017
7.0,M,0.08943089430894309,0.1050080775444265,1238,2017
8.0,F,0.12674897119341563,0.15081967213114755,1220,2017
8.0,M,0.1272285251215559,0.16264090177133655,1242,2017
9.0,F,0.167427701674277,0.1958997722095672,1317,2017
9.0,M,0.16519647153167602,0.2336,1250,2017
10.0,F,0.2118003025718608,0.2645064054257724,1327,2017
10.0,M,0.20248254460822343,0.27987663839629917,1297,2017
11.0,F,0.24317617866004962,0.2823045267489712,1215,2017
11.0,M,0.2748319641523525,0.3125463994060876,1347,2017
12.0,F,0.2868217054263566,0.31217838765008576,1166,2017
12.0,M,0.34793388429752065,0.36911643270024774,1211,2017
13.0,F,0.5454545454545454,0.5454545454545454,11,2017
13.0,M,0.6666666666666666,0.6666666666666666,9,2017
6.0,F,0.04436860068259386,0.05623306233062331,1476,2018
6.0,M,0.07642857142857143,0.08492569002123142,1413,2018
7.0,F,0.08458646616541353,0.11387678904791537,1607,2018
7.0,M,0.0855614973262032,0.12392880685563612,1517,2018
8.0,F,0.11040339702760085,0.17277856135401976,1418,2018
8.0,M,0.10305343511450382,0.18694550063371357,1578,2018
9.0,F,0.1622746185852982,0.27712508638562544,1447,2018
9.0,M,0.18966689326988442,0.2983050847457627,1475,2018
10.0,F,0.21615384615384614,0.3348694316436252,1302,2018
10.0,M,0.2281226626776365,0.3392461197339246,1353,2018
11.0,F,0.27194860813704497,0.37464387464387466,1404,2018
11.0,M,0.31066571224051537,0.4291814946619217,1405,2018
12.0,F,0.3024193548387097,0.39036144578313253,1245,2018
12.0,M,0.3554356206630686,0.4211332312404288,1306,2018
13.0,F,0.7142857142857143,0.5,8,2018
13.0,M,0.8,0.6,5,2018
6.0,F,0.04677966101694915,0.09552845528455285,1476,2019
6.0,M,0.05874222529371113,0.12551724137931033,1450,2019
7.0,F,0.08710106382978723,0.2002652519893899,1508,2019
7.0,M,0.07238605898123325,0.19638069705093833,1492,2019
8.0,F,0.10784313725490197,0.2911010558069382,1326,2019
8.0,M,0.1310615989515072,0.29561805101373445,1529,2019
9.0,F,0.1399548532731377,0.3709556057185854,1329,2019
9.0,M,0.17565698478561548,0.38440303657694963,1449,2019
10.0,F,0.17306052855924978,0.4416027280477408,1173,2019
10.0,M,0.24140565317035906,0.475209763539283,1311,2019
11.0,F,0.19813717188823032,0.4707874682472481,1181,2019
11.0,M,0.2631578947368421,0.49352627570449353,1313,2019
12.0,F,0.24930747922437674,0.5115420129270545,1083,2019
12.0,M,0.28841413311421527,0.5377668308702791,1218,2019
13.0,F,0.2,0.3,10,2019
13.0,M,0.4,0.375,16,2019
