grade,sex,n,p_cig,p_vape,first_age,num_days,p_will_smoke,p_harmful,year
6.0,F,1226,0.13107996702390767,0.0,10.096938775510203,0.17325483599663583,0.05707196029776675,0.889168765743073,1999
6.0,M,1164,0.18663194444444445,0.0,9.6953125,0.4901785714285714,0.06754385964912281,0.8654188948306596,1999
7.0,F,1536,0.31131458469587964,0.0,10.580128205128204,0.7412516823687753,0.12813738441215325,0.8960953011250827,1999
7.0,M,1434,0.33777154870357395,0.0,10.332822085889571,1.1569129480614484,0.13442389758179232,0.833454018826937,1999
8.0,F,1280,0.4361785434612373,0.0,11.292892156862745,1.790192926045016,0.23459715639810427,0.9078740157480315,1999
8.0,M,1325,0.42444950645406226,0.0,11.112745098039216,1.8228193146417446,0.21012269938650308,0.8675445391169636,1999
9.0,F,869,0.5704387990762124,0.0,11.83002481389578,3.3782660332541568,0.30520231213872834,0.9134502923976608,1999
9.0,M,926,0.5517993456924755,0.0,11.6712158808933,3.193820224719101,0.2885032537960954,0.8754134509371555,1999
10.0,F,816,0.6078431372549019,0.0,12.603491271820449,4.041666666666667,0.3217821782178218,0.9490683229813665,1999
10.0,M,821,0.6320293398533008,0.0,11.986904761904762,4.688679245283019,0.32019704433497537,0.9119106699751861,1999
11.0,F,813,0.6568265682656826,0.0,13.195348837209302,4.50875,0.32098765432098764,0.937733499377335,1999
11.0,M,871,0.7045977011494253,0.0,12.766272189349113,5.190165876777251,0.3503480278422274,0.9223529411764706,1999
12.0,F,870,0.7154377880184332,0.0,13.610694183864915,6.041176470588235,0.4006928406466513,0.9687137891077636,1999
12.0,M,903,0.7161862527716186,0.0,13.271559633027524,6.782954545454546,0.3908685968819599,0.9366515837104072,1999
13.0,F,13,0.9230769230769231,0.0,9.571428571428571,13.5,0.7692307692307693,0.6923076923076923,1999
13.0,M,7,0.6666666666666666,0.0,8.75,17.142857142857142,0.5,0.4,1999
6.0,F,2618,0.21558743699108182,0.0,10.38103448275862,0.3445839874411303,0.06887264332435553,0.8805154236626318,2000
6.0,M,2547,0.25636878285483217,0.0,10.195402298850574,0.64453125,0.09757068896853843,0.8614701130856219,2000
7.0,F,2798,0.3298523586604249,0.0,10.472846441947565,0.734375,0.15129682997118155,0.9037610619469026,2000
7.0,M,2711,0.3804511278195489,0.0,10.321299638989169,0.9938837920489296,0.15358744394618834,0.8817658349328215,2000
8.0,F,2851,0.49148936170212765,0.0,10.330743618201998,1.7309930883957803,0.22446094026157654,0.9144479943201987,2000
8.0,M,2823,0.5079365079365079,0.0,10.140721649484536,2.2947622585438334,0.2439813151275602,0.8725027243007628,2000
9.0,F,2735,0.5300184162062616,0.0,9.835211267605635,3.104998135024245,0.28345588235294117,0.9361069836552749,2000
9.0,M,2878,0.5618374558303887,0.0,9.741423670668954,2.992965367965368,0.26332509707024354,0.8915748311411305,2000
10.0,F,2334,0.6015557476231633,0.0,9.463747645951036,3.8327503279405333,0.3054717794054287,0.939119170984456,2000
10.0,M,2630,0.6485966935793925,0.0,9.530525502318392,4.315187376725838,0.3201383551114527,0.8846601941747573,2000
11.0,F,2449,0.6534816646065101,0.0,9.198412698412698,4.089419087136929,0.2988505747126437,0.9505358615004122,2000
11.0,M,2498,0.6974483596597812,0.0,9.232988165680473,5.219294605809129,0.3448136142625608,0.8986514098896609,2000
12.0,F,1853,0.7172376291462752,0.0,9.00383877159309,6.203510696653868,0.36023835319609965,0.9582429501084598,2000
12.0,M,1967,0.7314432989690721,0.0,9.184024713150928,6.406431207169215,0.38039014373716634,0.8907867494824017,2000
13.0,F,18,0.7647058823529411,0.0,9.285714285714286,15.40625,0.6666666666666666,0.7058823529411765,2000
13.0,M,35,0.8214285714285714,0.0,10.82,13.589285714285714,0.5142857142857142,0.5,2000
6.0,F,1791,0.21067575241340147,0.0,10.171717171717171,0.4865174985656913,0.07909604519774012,0.8883800801373783,2002
6.0,M,1830,0.24188129899216126,0.0,9.916,0.8645179691956646,0.10050533408197641,0.8339943342776204,2002
7.0,F,2237,0.3230349840981372,0.0,11.06401766004415,0.6720704029643353,0.14474283113336367,0.8963133640552995,2002
7.0,M,2303,0.3573345259391771,0.0,10.8298755186722,0.8961835529304861,0.1347708894878706,0.8498402555910544,2002
8.0,F,2197,0.4249539594843462,0.0,11.639669421487604,1.2315764925373134,0.19843821773082224,0.9068265682656826,2002
8.0,M,2179,0.45509822263797944,0.0,11.218461538461538,1.4901347449470645,0.19652908067542213,0.8448030374940674,2002
9.0,F,1982,0.46839959225280325,0.0,12.360248447204969,2.068921011874032,0.2204684317718941,0.9397344228804902,2002
9.0,M,1988,0.5163934426229508,0.0,12.03894297635605,2.4963312368972748,0.21216768916155418,0.8749356664951107,2002
10.0,F,1757,0.5341757610568638,0.0,13.075,2.47215777262181,0.228,0.9416141957641672,2002
10.0,M,1757,0.570028818443804,0.0,12.634078212290502,3.139940828402367,0.24885057471264369,0.8976878612716763,2002
11.0,F,1663,0.5770631067961165,0.0,13.494736842105263,3.203353658536585,0.24094202898550723,0.9558111380145279,2002
11.0,M,1583,0.6292495189223861,0.0,13.13012729844413,3.963157894736842,0.2800763844684914,0.9061901723037652,2002
12.0,F,1317,0.6424751718869366,0.0,13.820678513731826,4.805534204458109,0.2924600152322925,0.9396485867074102,2002
12.0,M,1391,0.6963503649635037,0.0,13.532450331125828,5.978454680534918,0.36838288614938364,0.9119359534206696,2002
13.0,F,28,0.6785714285714286,0.0,11.31578947368421,11.557692307692308,0.4074074074074074,0.8148148148148148,2002
13.0,M,42,0.868421052631579,0.0,11.2,10.78125,0.5,0.575,2002
6.0,F,2308,0.15405046480743692,0.0,10.117073170731707,0.37176628010704726,0.0825524319500223,0.9087688219663419,2004
6.0,M,2356,0.21412900394910048,0.0,9.965034965034965,0.6045434494927217,0.10578216046615867,0.8711954124393472,2004
7.0,F,2359,0.28367875647668395,0.0,10.877068557919621,0.812772449869224,0.15135608048993876,0.9174193548387096,2004
7.0,M,2394,0.3008695652173913,0.0,10.64203233256351,0.9129572498898193,0.14986853637160386,0.8727899956877965,2004
8.0,F,2284,0.36069210292812776,0.0,11.620111731843576,1.164334085778781,0.20170327207530256,0.9324801412180053,2004
8.0,M,2245,0.3727565577542568,0.0,11.272388059701493,1.207484604452866,0.19443155452436195,0.8821917808219178,2004
9.0,F,2202,0.44857667584940314,0.0,12.213728549141965,1.8784543325526932,0.22784222737819027,0.9175874769797422,2004
9.0,M,2132,0.44922630560928434,0.0,11.911671924290221,2.2711698482623595,0.19873356064296152,0.8841346153846154,2004
10.0,F,1822,0.47714604236343366,0.0,12.859296482412061,2.3854166666666665,0.22048125349748182,0.9511924570160843,2004
10.0,M,1775,0.5222414789139226,0.0,12.395384615384616,3.0725235849056602,0.2464871194379391,0.8915040183696901,2004
11.0,F,1617,0.5504702194357367,0.0,13.381180223285487,2.800063371356147,0.2336272040302267,0.946417445482866,2004
11.0,M,1463,0.5810526315789474,0.0,12.958813838550247,3.3533619456366237,0.265,0.906993006993007,2004
12.0,F,1323,0.5898021308980214,0.0,14.09872029250457,3.5022953328232593,0.2582375478927203,0.9596958174904943,2004
12.0,M,1324,0.6527455529775715,0.0,13.48356807511737,4.924015748031496,0.32739938080495357,0.9044684129429892,2004
13.0,F,5,1.0,0.0,11.6,20.6,1.0,0.4,2004
13.0,M,25,0.8235294117647058,0.0,9.0,15.0,0.6190476190476191,0.5217391304347826,2004
6.0,F,2098,0.14055636896046853,0.0,10.106508875739644,0.2646341463414634,0.0702274975272008,0.914811229428848,2006
6.0,M,2001,0.1825726141078838,0.0,9.668292682926829,0.5562238493723849,0.09953100573215216,0.8711498973305954,2006
7.0,F,2004,0.20924327069578466,0.0,11.016666666666667,0.4291539245667686,0.10245901639344263,0.9193302891933028,2006
7.0,M,2017,0.24511819116135664,0.0,10.73076923076923,0.6246122026887281,0.12183789364997419,0.869653767820774,2006
8.0,F,2161,0.3116454502593116,0.0,11.507075471698114,0.8939321548017201,0.170313986679353,0.9063670411985019,2006
8.0,M,2030,0.34151329243353784,0.0,11.274647887323944,1.1664066562662507,0.1646937725167267,0.8661936137861125,2006
9.0,F,2118,0.3885135135135135,0.0,12.342541436464089,1.3534985422740524,0.2016361886429259,0.9270038167938931,2006
9.0,M,2016,0.4226646248085758,0.0,12.118673647469459,1.6390918580375784,0.21743589743589745,0.8748738647830474,2006
10.0,F,2057,0.43952802359882004,0.0,12.868932038834952,2.1425732737208145,0.2049140049140049,0.95361328125,2006
10.0,M,2001,0.46412213740458014,0.0,12.699088145896656,2.957224830464267,0.24004085801838612,0.8863636363636364,2006
11.0,F,1793,0.496045197740113,0.0,13.63013698630137,2.634451392836839,0.22724703222159412,0.9590577678070668,2006
11.0,M,1595,0.5240230621396541,0.0,13.061990212071779,3.4523655217109526,0.26955397543632836,0.920076726342711,2006
12.0,F,1391,0.5472527472527473,0.0,14.20446096654275,3.1154127100073046,0.23328488372093023,0.963150289017341,2006
12.0,M,1415,0.5893371757925072,0.0,13.926298157453937,4.161266568483064,0.3013005780346821,0.9146341463414634,2006
13.0,F,7,1.0,0.0,9.166666666666666,24.142857142857142,0.6666666666666666,0.5,2006
13.0,M,10,0.8888888888888888,0.0,9.142857142857142,23.333333333333332,0.7,0.5,2006
6.0,F,1642,0.09919404835709858,0.0,10.337349397590362,0.25547902316844084,0.045454545454545456,0.9215809284818067,2009
6.0,M,1727,0.13189448441247004,0.0,9.638655462184873,0.35214242607121304,0.06845965770171149,0.877624475104979,2009
7.0,F,1744,0.175990675990676,0.0,10.971428571428572,0.3012933568489124,0.089728453364817,0.9192982456140351,2009
7.0,M,1797,0.19988412514484358,0.0,10.497630331753555,0.7026011560693641,0.10817031070195628,0.8822525597269625,2009
8.0,F,1666,0.2684848484848485,0.0,11.640845070422536,0.6551936078672403,0.15196078431372548,0.9060975609756098,2009
8.0,M,1659,0.3001864512119329,0.0,11.396923076923077,1.0009416195856873,0.14008755472170106,0.8678660049627791,2009
9.0,F,1616,0.3453282828282828,0.0,12.470899470899472,1.1754777070063693,0.18586887332908975,0.9305555555555556,2009
9.0,M,1494,0.39657534246575343,0.0,12.219907407407407,1.6896431070678797,0.20859760394644117,0.8757807078417765,2009
10.0,F,1571,0.4127190136275146,0.0,13.112087912087912,1.6873767258382644,0.21172638436482086,0.937012987012987,2009
10.0,M,1460,0.4698879551820728,0.0,12.698224852071005,2.520100502512563,0.26222537207654145,0.8865546218487395,2009
11.0,F,1510,0.4903010033444816,0.0,13.890287769784173,2.4945762711864408,0.24797297297297297,0.9321692411014103,2009
11.0,M,1533,0.5241561879549967,0.0,13.627272727272727,3.221809588116138,0.30774410774410776,0.8845388188453882,2009
12.0,F,1576,0.5208199871877002,0.0,14.46546052631579,2.9210355987055014,0.2589974293059126,0.9450830140485313,2009
12.0,M,1562,0.556135770234987,0.0,14.083211678832116,3.8924983255190893,0.308411214953271,0.87740225314778,2009
13.0,F,10,0.7777777777777778,0.0,9.285714285714286,20.642857142857142,0.3,0.4,2009
13.0,M,9,0.5,0.0,11.75,10.0,0.4444444444444444,0.6666666666666666,2009
6.0,F,1283,0.10576164167324388,0.00779423226812159,10.015748031496063,0.42857142857142855,0.05703125,0.9249786871270247,2011
6.0,M,1415,0.1412964311726147,0.01060070671378092,9.756613756613756,0.4681784930504755,0.06405693950177936,0.9258662369057212,2011
7.0,F,1578,0.16399743754003843,0.015842839036755388,10.91566265060241,0.31546458739441197,0.06979695431472081,0.9348268839103869,2011
7.0,M,1435,0.19742489270386265,0.012543554006968641,10.776119402985074,0.4263537906137184,0.08117564730580826,0.892018779342723,2011
8.0,F,1586,0.2340966921119593,0.014501891551071878,11.440771349862258,0.648578811369509,0.11356466876971609,0.928380187416332,2011
8.0,M,1519,0.2505091649694501,0.016458196181698487,11.237569060773481,0.6944634313055366,0.10728476821192053,0.8928046989720999,2011
9.0,F,1289,0.3226311667971809,0.02482544608223429,12.38083538083538,0.90814696485623,0.1594090202177294,0.9350328947368421,2011
9.0,M,1214,0.3674496644295302,0.03377265238879736,11.928074245939674,1.4334470989761092,0.1691542288557214,0.8862815884476535,2011
10.0,F,1189,0.38305084745762713,0.03280067283431455,13.082774049217003,1.4575471698113207,0.17537942664418213,0.9411764705882353,2011
10.0,M,1122,0.4324817518248175,0.05614973262032086,12.553191489361701,2.2181395348837207,0.21645796064400716,0.8791423001949318,2011
11.0,F,1160,0.3984375,0.03879310344827586,13.58021978021978,1.8672489082969432,0.18566493955094993,0.9540954095409541,2011
11.0,M,1209,0.48576214405360135,0.07196029776674938,13.071428571428571,2.940323955669224,0.2535211267605634,0.903863432165319,2011
12.0,F,1181,0.46107784431137727,0.04403048264182896,14.133828996282528,2.183147033533964,0.21495327102803738,0.9578207381370826,2011
12.0,M,1287,0.5237341772151899,0.05982905982905983,13.546153846153846,3.2477911646586346,0.2751363990646921,0.8958162428219852,2011
13.0,F,5,1.0,0.0,8.0,24.375,0.8,0.5,2011
13.0,M,10,0.5555555555555556,0.2,9.2,13.0625,0.4,0.8333333333333334,2011
6.0,F,1824,0.05865921787709497,0.013706140350877192,10.096774193548388,0.1425,0.023076923076923078,0.7576119402985074,2012
6.0,M,1874,0.08557323093801426,0.011739594450373533,9.846153846153847,0.22498633132859486,0.03225806451612903,0.7131874630396215,2012
7.0,F,2007,0.12040302267002519,0.02391629297458894,10.84322033898305,0.20358224016145307,0.05502751375687844,0.7558441558441559,2012
7.0,M,2029,0.13618090452261306,0.02759980285855101,10.89655172413793,0.2390868038133467,0.05503222607833416,0.7037815126050421,2012
8.0,F,1966,0.1888147768086198,0.03306205493387589,11.51388888888889,0.47729618163054693,0.09322465613856343,0.7738534528202425,2012
8.0,M,1962,0.21741397288842546,0.03618756371049949,11.211586901763225,0.7259162303664921,0.09555442003065917,0.7121212121212122,2012
9.0,F,1661,0.27161997563946405,0.060204695966285374,12.315436241610739,0.9198286413708691,0.12605548854041013,0.7806090739589807,2012
9.0,M,1600,0.30407124681933845,0.071875,12.162393162393162,1.3755583918315253,0.14393463230672532,0.7126666666666667,2012
10.0,F,1616,0.31094527363184077,0.07054455445544554,13.072727272727272,1.1136649874055415,0.14950372208436724,0.8113695090439277,2012
10.0,M,1497,0.39360978925900747,0.11690046760187041,12.929453262786597,2.3533424283765347,0.18645204560697518,0.7157968970380818,2012
11.0,F,1643,0.37852760736196317,0.08338405356055995,13.917073170731708,1.6533251231527093,0.17510677242220865,0.8340638697557922,2012
11.0,M,1700,0.42651469706058787,0.13411764705882354,13.53758865248227,2.260856453558504,0.2129793510324484,0.7332506203473945,2012
12.0,F,1519,0.4278145695364238,0.0967741935483871,14.427682737169517,1.99,0.2011873350923483,0.8372881355932204,2012
12.0,M,1661,0.4899205864386072,0.16616496086694763,14.064312736443885,3.2113846153846155,0.2711352657004831,0.7411167512690355,2012
13.0,F,13,0.9,0.23076923076923078,12.555555555555555,18.0,0.38461538461538464,0.2727272727272727,2012
13.0,M,11,0.9,0.5454545454545454,9.11111111111111,21.15,0.8181818181818182,0.2222222222222222,2012
6.0,F,1291,0.07199367088607594,0.01471727343144849,9.9625,0.20963949843260188,0.02635658914728682,0.871499176276771,2013
6.0,M,1343,0.08928571428571429,0.018615040953090096,9.821782178217822,0.22065548780487804,0.028337061894108874,0.8412302576891105,2013
7.0,F,1363,0.13122171945701358,0.02714600146735143,10.823529411764707,0.13171641791044778,0.05073529411764706,0.8634630053394355,2013
7.0,M,1329,0.13380281690140844,0.033860045146726865,10.45679012345679,0.2935956790123457,0.04833836858006042,0.8503236245954693,2013
8.0,F,1383,0.19236417033773862,0.04844540853217643,11.675675675675675,0.3027961736571008,0.07547169811320754,0.8944193061840121,2013
8.0,M,1401,0.2154981549815498,0.04925053533190578,11.145328719723183,0.5341321713870734,0.0816034359341446,0.8270849273144606,2013
9.0,F,1290,0.27129337539432175,0.08062015503875969,12.214705882352941,0.9776295133437991,0.10403726708074534,0.8918918918918919,2013
9.0,M,1334,0.2811526479750779,0.08320839580209895,11.752136752136753,1.0911925175370225,0.11337868480725624,0.835076427996782,2013
10.0,F,1328,0.324407039020658,0.07530120481927711,13.0381861575179,1.1113236419280796,0.11831198191409194,0.9032258064516129,2013
10.0,M,1258,0.3522633744855967,0.11605723370429252,12.560679611650485,1.8042414355628058,0.15047770700636942,0.840531561461794,2013
11.0,F,1247,0.35289323553382235,0.08821170809943865,13.600917431192661,1.838511856091578,0.1592920353982301,0.9172870140612076,2013
11.0,M,1252,0.39917355371900826,0.1269968051118211,13.158562367864693,2.4454545454545453,0.1832797427652733,0.8397271952259164,2013
12.0,F,1232,0.40643033800494643,0.11607142857142858,14.476288659793815,2.184863523573201,0.1903986981285598,0.9164578111946533,2013
