"well.name","SampledDate","SampleNumber","ParameterName","ParameterUnits","result","Method.Detection.Limit","Reporting.limit","censoring.status","Easting","Northing"
"MW-11-1996",2020-07-07,"WW01660","TotalOrganicCarbon","mg/L",0.5,0.5,0.5,"left.censored",4217227.5,908744.700000003
"MW-16-1988",2020-07-07,"WW01661","TotalOrganicCarbon","mg/L",0.5,0.5,0.5,"left.censored",4217592.7,909113.699999994
"MW-17-1988",2020-07-07,"WW01662","TotalOrganicCarbon","mg/L",0.5,0.5,0.5,"left.censored",4219020.1,910332.999999999
"MW-20-1988",2020-07-07,"WW01663","TotalOrganicCarbon","mg/L",0.5,0.5,0.5,"left.censored",4217582.6,909533.999999998
"MW-15-1988",2020-07-07,"WW01666","TotalOrganicCarbon","mg/L",0.5,0.5,0.5,"left.censored",4217592.3,909964.400000006
"MW-12-1996",2020-07-07,"WW01656","TotalColiform","Colonies per 100 mL",1,1,NA,"left.censored",4219546.5,908262.299999999
"MW-22-1988",2020-07-07,"WW01657","TotalColiform","Colonies per 100 mL",1,1,NA,"left.censored",4218563.1,908764.299999998
"MW-10-1996",2020-07-07,"WW01658","TotalColiform","Colonies per 100 mL",1,1,NA,"left.censored",4217879.6,908303.200000001
"MW-21-1988",2020-07-07,"WW01659","TotalColiform","Colonies per 100 mL",1,1,NA,"left.censored",4218063,908984.000000007
"MW-11-1996",2020-07-07,"WW01660","TotalColiform","Colonies per 100 mL",1,1,NA,"left.censored",4217227.5,908744.700000003
"MW-16-1988",2020-07-07,"WW01661","TotalColiform","Colonies per 100 mL",1,1,NA,"left.censored",4217592.7,909113.699999994
"MW-17-1988",2020-07-07,"WW01662","TotalColiform","Colonies per 100 mL",1,1,NA,"left.censored",4219020.1,910332.999999999
"MW-20-1988",2020-07-07,"WW01663","TotalColiform","Colonies per 100 mL",1,1,NA,"left.censored",4217582.6,909533.999999998
"MW-9-1996",2020-07-07,"WW01664","TotalColiform","Colonies per 100 mL",1,1,NA,"left.censored",4217256.3,909769.900000009
"MW-15-1988",2020-07-07,"WW01666","TotalColiform","Colonies per 100 mL",1,1,NA,"left.censored",4217592.3,909964.400000006
"MW-19-1988",2020-07-07,"WW01667","TotalColiform","Colonies per 100 mL",1,1,NA,"left.censored",4217612.7,910364.200000005
"MW-19A-1988",2020-07-07,"WW01668","TotalColiform","Colonies per 100 mL",1,1,NA,"left.censored",4217612.3,910354.099999997
"MW-13A-1988",2020-07-07,"WW01669","TotalColiform","Colonies per 100 mL",1,1,NA,"left.censored",4218304.4,910813.2
"MW-13-2018",2020-07-07,"WW01670","TotalColiform","Colonies per 100 mL",1,1,NA,"left.censored",4218262.9,910814.599999998
"MW-9-1996",2020-07-07,"WW01665","TotalColiform","Colonies per 100 mL",1,NA,NA,"left.censored",4217256.3,909769.900000009
"MW-12-1996",2020-07-07,"WW01656","Zinc","µg/L",0.538,0.355,1,"interval.censored",4219546.5,908262.299999999
"MW-22-1988",2020-07-07,"WW01657","Zinc","µg/L",0.424,0.355,1,"interval.censored",4218563.1,908764.299999998
"MW-10-1996",2020-07-07,"WW01658","Zinc","µg/L",0.602,0.355,1,"interval.censored",4217879.6,908303.200000001
"MW-21-1988",2020-07-07,"WW01659","Zinc","µg/L",0.416,0.355,1,"interval.censored",4218063,908984.000000007
"MW-11-1996",2020-07-07,"WW01660","Zinc","µg/L",0.355,0.355,1,"left.censored",4217227.5,908744.700000003
"MW-16-1988",2020-07-07,"WW01661","Zinc","µg/L",0.421,0.355,1,"interval.censored",4217592.7,909113.699999994
"MW-17-1988",2020-07-07,"WW01662","Zinc","µg/L",0.355,0.355,1,"left.censored",4219020.1,910332.999999999
"MW-20-1988",2020-07-07,"WW01663","Zinc","µg/L",0.401,0.355,1,"interval.censored",4217582.6,909533.999999998
"MW-9-1996",2020-07-07,"WW01664","Zinc","µg/L",0.355,0.355,1,"left.censored",4217256.3,909769.900000009
"MW-15-1988",2020-07-07,"WW01666","Zinc","µg/L",0.355,0.355,1,"left.censored",4217592.3,909964.400000006
"MW-19A-1988",2020-07-07,"WW01668","Zinc","µg/L",0.883,0.355,1,"interval.censored",4217612.3,910354.099999997
"MW-13A-1988",2020-07-07,"WW01669","Zinc","µg/L",0.355,0.355,1,"left.censored",4218304.4,910813.2
