"well.name","SampledDate","SampleNumber","ParameterName","ParameterUnits","result","Method.Detection.Limit","Reporting.limit","censoring.status","Easting","Northing"
"MW-19-1988",2020-07-07,"WW01667","Zinc","µg/L",1.12,0.355,1,"not.censored",4217612.7,910364.200000005
"MW-13-2018",2020-07-07,"WW01670","Zinc","µg/L",1.06,0.355,1,"not.censored",4218262.9,910814.599999998
"MW-12-1996",2020-07-07,"WW01656","WaterTableElevation","feet above mean sea level",360.74,NA,NA,"not.censored",4219546.5,908262.299999999
"MW-22-1988",2020-07-07,"WW01657","WaterTableElevation","feet above mean sea level",358.94,NA,NA,"not.censored",4218563.1,908764.299999998
"MW-10-1996",2020-07-07,"WW01658","WaterTableElevation","feet above mean sea level",357.9,NA,NA,"not.censored",4217879.6,908303.200000001
"MW-21-1988",2020-07-07,"WW01659","WaterTableElevation","feet above mean sea level",357.99,NA,NA,"not.censored",4218063,908984.000000007
"MW-11-1996",2020-07-07,"WW01660","WaterTableElevation","feet above mean sea level",356.55,NA,NA,"not.censored",4217227.5,908744.700000003
"MW-16-1988",2020-07-07,"WW01661","WaterTableElevation","feet above mean sea level",356.77,NA,NA,"not.censored",4217592.7,909113.699999994
"MW-17-1988",2020-07-07,"WW01662","WaterTableElevation","feet above mean sea level",357.92,NA,NA,"not.censored",4219020.1,910332.999999999
"MW-20-1988",2020-07-07,"WW01663","WaterTableElevation","feet above mean sea level",356.49,NA,NA,"not.censored",4217582.6,909533.999999998
"MW-9-1996",2020-07-07,"WW01664","WaterTableElevation","feet above mean sea level",356.13,NA,NA,"not.censored",4217256.3,909769.900000009
"MW-15-1988",2020-07-07,"WW01666","WaterTableElevation","feet above mean sea level",355.99,NA,NA,"not.censored",4217592.3,909964.400000006
"MW-19-1988",2020-07-07,"WW01667","WaterTableElevation","feet above mean sea level",355.78,NA,NA,"not.censored",4217612.7,910364.200000005
"MW-19A-1988",2020-07-07,"WW01668","WaterTableElevation","feet above mean sea level",355.79,NA,NA,"not.censored",4217612.3,910354.099999997
"MW-13A-1988",2020-07-07,"WW01669","WaterTableElevation","feet above mean sea level",356,NA,NA,"not.censored",4218304.4,910813.2
"MW-13-2018",2020-07-07,"WW01670","WaterTableElevation","feet above mean sea level",355.95,NA,NA,"not.censored",4218262.9,910814.599999998
"MW-9-1996",2020-07-07,"WW01665","WaterTableElevation","feet above mean sea level",356.13,NA,NA,"not.censored",4217256.3,909769.900000009
"MW-18-1988",2020-07-08,"WW01698","Ammonia","mg/L",0.2,0.2,0.2,"left.censored",4217912.6,910783.999999998
"MW-14-1988",2020-07-08,"WW01700","Ammonia","mg/L",0.2,0.2,0.2,"left.censored",4217612.3,910814.700000002
"MW-14A-1988",2020-07-08,"WW01701","Ammonia","mg/L",0.2,0.2,0.2,"left.censored",4217622.5,910814.499999998
"MW-14B-1988",2020-07-08,"WW01702","Ammonia","mg/L",0.2,0.2,0.2,"left.censored",4217612.9,910804.299999995
"MW-7-1996",2020-07-08,"WW01703","Ammonia","mg/L",0.2,0.2,0.2,"left.censored",4217291.5,910895.9
"MW-18-1988",2020-07-08,"WW01699","Ammonia","mg/L",0.2,NA,NA,"left.censored",4217912.6,910783.999999998
