Date,Time,Temperature_C,Dew_Point_C,Humidity_%,Wind,Speed_kmh,Gust_kmh,Pressure_hPa,Precip_Rate_mm,Precip_Accum_mm,UV,Solar_w/m2
2025/01/01,12:00 AM,5.11,5.0,98.0,WNW,0.0,1.61,1018.63,0.0,0.0,NA,2.0
2025/01/01,12:05 AM,5.11,5.0,98.0,WNW,0.0,1.61,1018.63,0.0,0.0,NA,2.0
2025/01/01,12:10 AM,5.06,5.0,98.0,NW,0.0,1.61,1018.63,0.0,0.0,NA,2.0
2025/01/01,12:15 AM,5.06,5.0,98.0,NW,0.0,1.61,1018.63,0.0,0.0,NA,2.0
2025/01/01,12:20 AM,5.0,4.44,98.0,NW,0.0,1.61,1018.63,0.0,0.0,NA,2.0
2025/01/01,12:25 AM,5.0,4.44,98.0,NW,0.0,1.61,1018.63,0.0,0.0,NA,2.0
2025/01/01,12:30 AM,5.0,4.44,98.0,NW,0.0,1.61,1018.29,0.0,0.0,NA,2.0
2025/01/01,12:35 AM,5.0,4.44,98.0,SSE,0.0,0.0,1018.29,0.0,0.0,NA,2.0
2025/01/01,12:40 AM,4.94,4.44,98.0,SSE,0.0,0.0,1018.29,0.25,0.25,NA,2.0
2025/01/01,12:45 AM,5.0,4.44,98.0,SSW,0.0,0.0,1018.29,0.25,0.25,NA,2.0
2025/01/01,12:50 AM,5.0,5.0,99.0,SSE,0.0,0.0,1018.29,0.25,0.25,NA,2.0
2025/01/01,12:55 AM,5.06,5.0,99.0,SSE,0.0,0.0,1018.29,0.25,0.25,NA,2.0
2025/01/01,01:00 AM,5.0,5.0,99.0,SE,0.0,1.61,1018.29,0.25,0.25,NA,2.0
2025/01/01,01:10 AM,5.0,5.0,99.0,SE,0.0,0.0,1018.29,0.51,0.51,NA,2.0
2025/01/01,01:15 AM,5.0,5.0,99.0,SE,0.0,0.0,1018.29,0.51,0.51,NA,2.0
2025/01/01,01:20 AM,5.0,5.0,99.0,SE,0.0,0.0,1018.29,0.51,0.51,NA,2.0
2025/01/01,01:25 AM,5.0,5.0,99.0,SE,0.0,0.0,1018.29,0.51,0.51,NA,2.0
2025/01/01,01:30 AM,5.0,5.0,99.0,ESE,0.0,0.0,1018.29,0.51,0.51,NA,2.0
2025/01/01,01:35 AM,5.0,5.0,99.0,ESE,0.0,1.61,1018.29,0.76,0.76,NA,2.0
2025/01/01,01:40 AM,4.94,5.0,99.0,East,0.0,1.61,1018.29,0.51,0.76,NA,2.0
2025/01/01,01:45 AM,4.94,5.0,99.0,East,0.0,1.61,1018.29,0.51,0.76,NA,2.0
2025/01/01,01:50 AM,5.0,5.0,99.0,NE,1.61,1.61,1018.29,0.51,0.76,NA,2.0
2025/01/01,01:55 AM,5.0,5.0,99.0,ENE,0.0,1.61,1018.29,0.51,0.76,NA,2.0
2025/01/01,02:00 AM,5.06,5.0,99.0,NE,0.0,3.22,1018.29,0.51,0.76,NA,2.0
2025/01/01,02:05 AM,5.06,5.0,99.0,ENE,1.61,1.61,1018.29,0.51,0.76,NA,2.0
2025/01/01,02:10 AM,5.06,5.0,99.0,ENE,0.0,1.61,1018.29,0.25,0.76,NA,2.0
2025/01/01,02:15 AM,5.11,5.0,99.0,ENE,0.0,1.61,1018.29,0.25,0.76,NA,2.0
2025/01/01,02:20 AM,5.11,5.0,99.0,SE,0.0,1.61,1018.29,0.25,0.76,NA,2.0
2025/01/01,02:25 AM,5.17,5.0,99.0,SE,0.0,1.61,1018.29,0.25,0.76,NA,2.0
2025/01/01,02:30 AM,5.17,5.0,99.0,SE,0.0,0.0,1018.29,0.25,0.76,NA,2.0
2025/01/01,02:35 AM,5.17,5.0,99.0,SE,0.0,0.0,1018.63,0.0,0.76,NA,2.0
2025/01/01,02:40 AM,5.17,5.0,99.0,SE,0.0,0.0,1018.29,0.0,0.76,NA,2.0
2025/01/01,02:45 AM,5.22,5.0,99.0,SE,0.0,0.0,1018.29,0.0,0.76,NA,2.0
2025/01/01,02:50 AM,5.22,5.0,99.0,SE,0.0,0.0,1018.29,0.0,0.76,NA,2.0
2025/01/01,02:55 AM,5.28,5.0,99.0,ENE,0.0,1.61,1018.29,0.0,0.76,NA,2.0
2025/01/01,03:00 AM,5.28,5.0,99.0,ENE,0.0,1.61,1018.29,0.0,0.76,NA,2.0
2025/01/01,03:05 AM,5.33,5.0,99.0,ENE,0.0,1.61,1018.29,0.0,0.76,NA,2.0
2025/01/01,03:10 AM,5.33,5.0,99.0,ENE,0.0,1.61,1018.29,0.0,0.76,NA,2.0
2025/01/01,03:15 AM,5.39,5.0,99.0,East,0.0,0.0,1018.29,0.0,0.76,NA,2.0
2025/01/01,03:20 AM,5.39,5.0,99.0,ENE,0.0,0.0,1017.95,0.0,0.76,NA,2.0
2025/01/01,03:25 AM,5.39,5.0,99.0,ENE,0.0,0.0,1018.29,0.0,0.76,NA,2.0
2025/01/01,03:30 AM,5.39,5.0,99.0,ENE,0.0,0.0,1018.29,0.0,0.76,NA,2.0
2025/01/01,03:35 AM,5.39,5.0,99.0,NE,0.0,0.0,1018.63,0.0,0.76,NA,2.0
2025/01/01,03:40 AM,5.39,5.0,99.0,NE,0.0,0.0,1018.63,0.0,0.76,NA,2.0
2025/01/01,03:45 AM,5.33,5.0,99.0,East,0.0,0.0,1018.29,0.0,0.76,NA,2.0
2025/01/01,03:50 AM,5.33,5.0,99.0,East,0.0,0.0,1018.63,0.0,0.76,NA,2.0
2025/01/01,03:55 AM,5.33,5.0,99.0,ENE,0.0,0.0,1018.63,0.0,0.76,NA,2.0
2025/01/01,04:00 AM,5.33,5.0,99.0,East,0.0,0.0,1018.29,0.0,0.76,NA,2.0
2025/01/01,04:05 AM,5.28,5.0,99.0,East,0.0,0.0,1018.29,0.0,0.76,NA,2.0
2025/01/01,04:10 AM,5.28,5.0,99.0,ENE,0.0,0.0,1017.95,0.0,0.76,NA,2.0
2025/01/01,04:15 AM,5.28,5.0,99.0,East,0.0,1.61,1017.95,0.0,0.76,NA,2.0
2025/01/01,04:20 AM,5.28,5.0,99.0,ENE,0.0,0.0,1017.95,0.0,0.76,NA,2.0
2025/01/01,04:25 AM,5.22,5.0,99.0,ENE,0.0,0.0,1018.29,0.0,0.76,NA,2.0
2025/01/01,04:35 AM,5.28,5.0,99.0,ENE,0.0,0.0,1018.29,0.0,0.76,NA,2.0
2025/01/01,04:40 AM,5.28,5.0,99.0,ESE,4.83,4.83,1017.95,0.0,0.76,NA,2.0
2025/01/01,04:45 AM,5.28,5.0,99.0,ESE,0.0,4.83,1018.29,0.0,0.76,NA,2.0
2025/01/01,04:50 AM,5.28,5.0,99.0,ENE,0.0,1.61,1017.95,0.0,0.76,NA,2.0
2025/01/01,04:55 AM,5.28,5.0,99.0,East,0.0,1.61,1017.61,0.0,0.76,NA,2.0
2025/01/01,05:01 AM,5.28,5.0,99.0,ENE,0.0,3.22,1017.95,0.0,0.76,NA,2.0
2025/01/01,05:05 AM,5.28,5.0,99.0,ENE,0.0,3.22,1017.95,0.0,0.76,NA,2.0
2025/01/01,05:10 AM,5.28,5.0,99.0,ENE,0.0,1.61,1018.29,0.0,0.76,NA,2.0
2025/01/01,05:15 AM,5.28,5.0,99.0,ENE,0.0,1.61,1017.95,0.0,0.76,NA,2.0
2025/01/01,05:20 AM,5.33,5.0,99.0,NE,0.0,1.61,1017.95,0.0,0.76,NA,2.0
2025/01/01,05:25 AM,5.28,5.0,99.0,NE,0.0,0.0,1017.95,0.0,0.76,NA,2.0
2025/01/01,05:30 AM,5.28,5.0,99.0,NE,0.0,0.0,1017.61,0.0,0.76,NA,2.0
2025/01/01,05:35 AM,5.28,5.0,99.0,East,0.0,4.83,1017.61,0.0,0.76,NA,2.0
2025/01/01,05:40 AM,5.28,5.0,99.0,East,0.0,4.83,1017.61,0.0,0.76,NA,2.0
2025/01/01,05:45 AM,5.28,5.0,99.0,NE,0.0,3.22,1017.61,0.0,0.76,NA,2.0
2025/01/01,05:50 AM,5.22,5.0,99.0,NE,0.0,3.22,1017.61,0.0,0.76,NA,2.0
2025/01/01,05:55 AM,5.22,5.0,99.0,NE,0.0,3.22,1017.61,0.0,0.76,NA,2.0
2025/01/01,06:00 AM,5.17,5.0,99.0,NE,0.0,3.22,1017.61,0.0,0.76,NA,2.0
2025/01/01,06:05 AM,5.22,5.0,99.0,NE,0.0,0.0,1017.61,0.0,0.76,NA,2.0
2025/01/01,06:10 AM,5.22,5.0,99.0,NE,0.0,0.0,1017.61,0.0,0.76,NA,2.0
2025/01/01,06:15 AM,5.22,5.0,99.0,East,0.0,1.61,1017.61,0.0,0.76,NA,2.0
2025/01/01,06:20 AM,5.22,5.0,99.0,ENE,1.61,1.61,1017.61,0.0,0.76,NA,2.0
2025/01/01,06:25 AM,5.28,5.0,99.0,ENE,0.0,1.61,1017.27,0.0,0.76,NA,2.0
2025/01/01,06:30 AM,5.28,5.0,99.0,ENE,0.0,0.0,1017.61,0.0,0.76,NA,2.0
2025/01/01,06:35 AM,5.28,5.0,99.0,ENE,0.0,0.0,1017.61,0.0,0.76,NA,2.0
2025/01/01,06:40 AM,5.33,5.0,99.0,ENE,0.0,0.0,1017.61,0.0,0.76,NA,2.0
2025/01/01,06:45 AM,5.33,5.0,99.0,ENE,0.0,0.0,1017.61,0.0,0.76,NA,2.0
2025/01/01,06:50 AM,5.33,5.0,99.0,ENE,0.0,0.0,1017.61,0.0,0.76,NA,2.0
2025/01/01,06:55 AM,5.33,5.0,99.0,ENE,0.0,0.0,1017.95,0.0,0.76,NA,2.0
2025/01/01,07:00 AM,5.33,5.0,99.0,ENE,0.0,0.0,1017.95,0.0,0.76,NA,2.0
2025/01/01,07:05 AM,5.33,5.0,99.0,ENE,0.0,0.0,1017.95,0.0,0.76,NA,2.0
2025/01/01,07:10 AM,5.33,5.0,99.0,ENE,0.0,0.0,1017.95,0.0,0.76,NA,2.0
2025/01/01,07:15 AM,5.33,5.0,99.0,ENE,0.0,0.0,1017.95,0.25,1.02,NA,2.0
2025/01/01,07:20 AM,5.33,5.0,99.0,ENE,0.0,0.0,1017.95,0.25,1.02,NA,2.0
2025/01/01,07:25 AM,5.39,5.0,99.0,East,0.0,1.61,1017.95,0.25,1.02,NA,2.0
2025/01/01,07:30 AM,5.39,5.0,99.0,NE,0.0,3.22,1017.61,0.51,1.27,NA,2.0
2025/01/01,07:35 AM,5.44,5.56,99.0,ENE,0.0,3.22,1017.95,0.51,1.27,NA,2.0
