Date,Time,Temperature_C,Dew_Point_C,Humidity_%,Wind,Speed_kmh,Gust_kmh,Pressure_hPa,Precip_Rate_mm,Precip_Accum_mm,UV,Solar_w/m2
2025/01/01,12:02 AM,5.11,4.22,94.0,North,0.0,0.0,1017.95,0.0,0.0,0.0,0.0
2025/01/01,12:07 AM,5.11,4.22,94.0,North,0.0,0.0,1017.95,0.0,0.0,0.0,0.0
2025/01/01,12:12 AM,5.11,4.22,94.0,North,0.0,0.0,1017.95,0.0,0.0,0.0,0.0
2025/01/01,12:17 AM,5.0,4.11,94.0,NW,1.45,3.54,1017.95,0.0,0.0,0.0,0.0
2025/01/01,12:22 AM,5.0,4.11,94.0,NNE,1.45,2.57,1017.95,0.0,0.0,0.0,0.0
2025/01/01,12:27 AM,5.0,4.28,95.0,North,0.0,0.0,1017.95,0.0,0.0,0.0,0.0
2025/01/01,12:32 AM,5.0,4.28,95.0,North,0.0,0.0,1017.95,0.0,0.0,0.0,0.0
2025/01/01,12:38 AM,5.0,4.28,95.0,NE,0.64,1.77,1017.95,0.0,0.0,0.0,0.0
2025/01/01,12:42 AM,5.0,4.28,95.0,NNE,0.64,2.09,1017.95,0.0,0.0,0.0,0.0
2025/01/01,12:48 AM,5.0,4.28,95.0,North,0.32,0.64,1017.61,0.0,0.0,0.0,0.0
2025/01/01,12:52 AM,5.0,4.28,95.0,North,0.0,0.0,1017.95,0.0,0.0,0.0,0.0
2025/01/01,12:57 AM,4.89,4.22,95.0,North,0.0,0.32,1017.95,0.0,0.0,0.0,0.0
2025/01/01,01:02 AM,4.89,4.28,96.0,North,0.0,0.0,1017.61,0.0,0.0,0.0,0.0
2025/01/01,01:07 AM,4.89,4.28,96.0,North,0.0,0.0,1017.95,0.0,0.0,0.0,0.0
2025/01/01,01:12 AM,4.89,4.28,96.0,NNE,0.32,1.13,1017.95,0.0,0.0,0.0,0.0
2025/01/01,01:17 AM,4.89,4.28,96.0,NE,1.13,1.77,1017.95,0.0,0.0,0.0,0.0
2025/01/01,01:22 AM,4.89,4.28,96.0,ENE,0.64,2.57,1017.95,0.0,0.0,0.0,0.0
2025/01/01,01:27 AM,4.89,4.28,96.0,NE,1.77,2.57,1017.61,0.0,0.0,0.0,0.0
2025/01/01,01:32 AM,4.89,4.28,96.0,NNE,2.09,3.54,1017.61,0.0,0.0,0.0,0.0
2025/01/01,01:37 AM,4.89,4.28,96.0,North,0.0,0.0,1017.61,0.0,0.0,0.0,0.0
2025/01/01,01:43 AM,4.78,4.22,96.0,NNE,1.13,1.45,1017.61,0.0,0.0,0.0,0.0
2025/01/01,01:47 AM,4.78,4.22,96.0,North,0.0,0.0,1017.61,0.0,0.0,0.0,0.0
2025/01/01,01:53 AM,4.89,4.5,97.0,ENE,1.77,2.57,1017.61,0.0,0.0,0.0,0.0
2025/01/01,01:57 AM,4.89,4.5,97.0,NE,1.45,2.09,1017.61,0.0,0.0,0.0,0.0
2025/01/01,02:02 AM,4.89,4.5,97.0,NNE,0.32,1.13,1017.61,0.0,0.0,0.0,0.0
2025/01/01,02:07 AM,4.89,4.5,97.0,SE,0.64,2.09,1017.61,0.0,0.0,0.0,0.0
2025/01/01,02:12 AM,4.89,4.5,97.0,ENE,1.77,3.54,1017.95,0.0,0.0,0.0,0.0
2025/01/01,02:17 AM,4.89,4.5,97.0,North,0.0,0.0,1017.61,0.0,0.0,0.0,0.0
2025/01/01,02:22 AM,5.0,4.61,97.0,North,0.0,0.0,1017.95,0.0,0.0,0.0,0.0
2025/01/01,02:27 AM,5.0,4.61,97.0,North,0.0,0.32,1017.95,0.0,0.0,0.0,0.0
2025/01/01,02:32 AM,4.89,4.5,97.0,North,0.0,0.0,1017.95,0.0,0.0,0.0,0.0
2025/01/01,02:37 AM,5.0,4.61,97.0,NNE,1.13,2.09,1017.95,0.0,0.0,0.0,0.0
2025/01/01,02:42 AM,5.0,4.61,97.0,North,0.0,0.0,1017.95,0.0,0.0,0.0,0.0
2025/01/01,02:47 AM,5.0,4.61,97.0,NE,1.45,2.57,1017.95,0.0,0.0,0.0,0.0
2025/01/01,02:52 AM,5.0,4.61,97.0,North,0.64,2.09,1017.95,0.0,0.0,0.0,0.0
2025/01/01,02:58 AM,5.0,4.61,97.0,North,0.0,0.0,1017.61,0.0,0.0,0.0,0.0
2025/01/01,03:02 AM,5.0,4.61,97.0,North,0.0,0.0,1017.61,0.0,0.0,0.0,0.0
2025/01/01,03:07 AM,5.0,4.61,97.0,North,0.0,0.0,1017.61,0.0,0.0,0.0,0.0
2025/01/01,03:12 AM,5.0,4.61,97.0,NNE,2.9,4.34,1017.61,0.0,0.0,0.0,0.0
2025/01/01,03:17 AM,5.0,4.61,97.0,ENE,1.13,2.09,1017.61,0.0,0.0,0.0,0.0
2025/01/01,03:22 AM,5.0,4.61,97.0,ENE,2.57,3.54,1017.27,0.0,0.0,0.0,0.0
2025/01/01,03:27 AM,5.0,4.61,97.0,ENE,0.64,1.77,1017.95,0.0,0.0,0.0,0.0
2025/01/01,03:33 AM,5.0,4.61,97.0,NNE,0.64,2.57,1017.95,0.0,0.0,0.0,0.0
2025/01/01,03:37 AM,5.0,4.61,97.0,NNE,0.64,2.09,1017.95,0.0,0.0,0.0,0.0
2025/01/01,03:42 AM,5.0,4.61,97.0,ENE,0.64,2.57,1017.95,0.0,0.0,0.0,0.0
2025/01/01,03:49 AM,5.0,4.61,97.0,NNE,1.13,2.57,1017.95,0.0,0.0,0.0,0.0
2025/01/01,03:53 AM,5.0,4.61,97.0,NE,0.64,1.45,1017.95,0.0,0.0,0.0,0.0
2025/01/01,03:57 AM,5.0,4.61,97.0,East,0.64,2.09,1017.95,0.0,0.0,0.0,0.0
2025/01/01,04:04 AM,5.0,4.61,97.0,NE,0.32,1.13,1017.95,0.0,0.0,0.0,0.0
2025/01/01,04:07 AM,5.0,4.61,97.0,ENE,1.13,2.57,1017.61,0.0,0.0,0.0,0.0
2025/01/01,04:12 AM,5.0,4.61,97.0,North,0.0,0.0,1017.27,0.0,0.0,0.0,0.0
