Date,Time,Temperature_C,Dew_Point_C,Humidity_%,Wind,Speed_kmh,Gust_kmh,Pressure_hPa,Precip_Rate_mm,Precip_Accum_mm,UV,Solar_w/m2
2015/12/28,05:39 PM,5.61,5.28,98.0,SSW,0.0,0.0,1013.88,0.0,0.0,0.0,0.0
2015/12/28,05:42 PM,5.61,5.5,99.0,WSW,0.0,0.0,1013.88,0.0,0.0,0.0,0.0
2015/12/28,05:47 PM,5.72,5.61,99.0,West,3.22,11.91,1013.88,0.0,0.0,0.0,0.0
2015/12/28,05:52 PM,5.72,5.61,99.0,West,0.0,0.0,1013.88,0.0,0.0,0.0,0.0
2015/12/28,05:57 PM,5.72,5.61,99.0,SSE,0.0,0.0,1013.55,0.0,0.0,0.0,0.0
2015/12/28,06:03 PM,5.78,5.72,99.0,SW,0.0,0.0,1013.88,0.0,0.0,0.0,0.0
2015/12/28,06:08 PM,5.78,5.72,99.0,SSE,0.0,0.0,1014.22,1.78,0.25,0.0,0.0
2015/12/28,06:13 PM,5.78,5.72,99.0,NNW,0.0,0.0,1013.88,0.0,0.25,0.0,0.0
2015/12/28,06:19 PM,5.78,5.72,99.0,West,0.0,0.0,1013.88,1.78,0.51,0.0,0.0
2015/12/28,06:24 PM,5.78,5.72,99.0,NW,0.0,0.0,1013.88,1.78,0.51,0.0,0.0
2015/12/28,06:29 PM,5.78,5.72,99.0,NW,0.0,0.0,1014.22,0.0,0.51,0.0,0.0
2015/12/28,06:35 PM,5.78,5.72,99.0,NE,0.0,0.0,1014.22,0.0,0.51,0.0,0.0
2015/12/28,06:40 PM,5.72,5.61,99.0,NE,0.0,0.0,1014.22,0.0,0.51,0.0,0.0
2015/12/28,06:49 PM,5.72,5.61,99.0,NE,0.0,0.0,1014.56,0.0,0.51,0.0,0.0
2015/12/28,06:54 PM,5.72,5.61,99.0,NE,0.0,0.0,1014.22,0.0,0.51,0.0,0.0
2015/12/28,06:58 PM,5.72,5.61,99.0,NE,0.0,0.0,1014.22,0.0,0.51,0.0,0.0
2015/12/28,07:04 PM,5.61,5.5,99.0,NE,0.0,0.0,1014.22,0.0,0.51,0.0,0.0
2015/12/28,07:09 PM,5.61,5.5,99.0,NE,0.0,0.0,1014.22,0.0,0.51,0.0,0.0
2015/12/28,07:14 PM,5.5,5.39,99.0,NE,0.0,0.0,1014.22,0.0,0.51,0.0,0.0
2015/12/28,07:19 PM,5.39,5.28,99.0,NE,0.0,0.0,1014.22,0.0,0.51,0.0,0.0
2015/12/28,07:25 PM,5.28,5.22,99.0,NE,0.0,0.0,1014.22,0.0,0.51,0.0,0.0
2015/12/28,07:30 PM,5.28,5.22,99.0,NE,0.0,0.0,1014.22,0.0,0.51,0.0,0.0
2015/12/28,07:36 PM,5.22,5.11,99.0,ENE,0.0,0.0,1014.56,0.0,0.51,0.0,0.0
2015/12/28,07:41 PM,5.11,5.0,99.0,ENE,0.0,0.0,1014.22,0.0,0.51,0.0,0.0
2015/12/28,07:46 PM,5.11,5.0,99.0,ENE,0.0,0.0,1014.22,0.0,0.51,0.0,0.0
2015/12/28,07:52 PM,5.0,4.89,99.0,ENE,0.0,0.0,1014.22,0.0,0.51,0.0,0.0
2015/12/28,07:57 PM,4.89,4.78,99.0,ENE,0.0,0.0,1014.56,0.0,0.51,0.0,0.0
2015/12/28,08:02 PM,4.78,4.72,99.0,ENE,0.0,0.0,1013.88,0.0,0.51,0.0,0.0
2015/12/28,08:08 PM,4.61,4.5,99.0,ENE,0.0,0.0,1014.22,0.0,0.51,0.0,0.0
2015/12/28,08:13 PM,4.5,4.39,99.0,ENE,0.0,0.0,1014.22,0.0,0.51,0.0,0.0
2015/12/28,08:18 PM,4.39,4.28,99.0,ENE,0.0,0.0,1014.56,0.0,0.51,0.0,0.0
2015/12/28,08:24 PM,4.28,4.22,99.0,ENE,0.0,0.0,1014.22,0.0,0.51,0.0,0.0
2015/12/28,08:29 PM,4.11,4.0,99.0,ENE,0.0,0.0,1014.56,0.0,0.51,0.0,0.0
2015/12/28,08:34 PM,4.0,3.61,97.0,ENE,0.0,0.0,1014.22,0.0,0.51,0.0,0.0
2015/12/28,08:40 PM,3.89,3.78,99.0,ENE,0.0,0.0,1014.56,0.0,0.51,0.0,0.0
2015/12/28,08:45 PM,3.72,3.28,97.0,ENE,0.0,0.0,1014.56,0.0,0.51,0.0,0.0
2015/12/28,08:50 PM,3.61,3.5,99.0,ENE,0.0,0.0,1014.56,0.0,0.51,0.0,0.0
