Date,Time,Temperature_C,Dew_Point_C,Humidity_%,Wind,Speed_kmh,Gust_kmh,Pressure_hPa,Precip_Rate_mm,Precip_Accum_mm,UV,Solar_w/m2
2025/01/01,12:02 AM,4.22,3.78,97.0,NNE,0.0,1.77,990.52,1.78,0.25,0.0,0.0
2025/01/01,12:22 AM,4.11,3.83,98.0,NE,0.48,0.97,990.86,0.0,0.25,0.0,0.0
2025/01/01,12:40 AM,4.22,4.06,99.0,NE,0.0,0.0,990.18,0.0,0.25,0.0,0.0
2025/01/01,12:46 AM,4.22,4.06,99.0,NE,0.0,0.0,990.18,0.0,0.25,0.0,0.0
2025/01/01,12:54 AM,4.22,4.06,99.0,NE,0.0,0.0,990.18,1.27,0.51,0.0,0.0
2025/01/01,12:59 AM,4.22,4.06,99.0,,1.77,3.54,990.18,0.0,0.51,0.0,0.0
2025/01/01,01:04 AM,4.22,4.06,99.0,NE,0.0,0.0,990.18,0.0,0.51,0.0,0.0
2025/01/01,01:09 AM,4.22,4.06,99.0,NE,0.0,0.0,990.52,1.78,0.76,0.0,0.0
2025/01/01,01:23 AM,4.28,4.11,99.0,NE,0.0,1.77,990.18,0.0,0.76,0.0,0.0
2025/01/01,01:35 AM,4.28,4.11,99.0,NE,0.8,1.77,990.18,1.78,1.02,0.0,0.0
2025/01/01,01:44 AM,4.28,4.11,99.0,NE,0.0,1.77,990.52,0.0,1.02,0.0,0.0
2025/01/01,01:49 AM,4.28,4.11,99.0,NE,0.97,1.77,990.18,0.0,1.02,0.0,0.0
2025/01/01,01:54 AM,4.33,4.17,99.0,NE,0.16,1.29,990.18,0.0,1.02,0.0,0.0
2025/01/01,01:59 AM,4.39,4.22,99.0,NE,0.16,1.77,990.18,0.0,1.02,0.0,0.0
2025/01/01,02:04 AM,4.44,4.33,99.0,NE,0.0,2.41,990.18,0.0,1.02,0.0,0.0
2025/01/01,02:09 AM,4.5,4.33,99.0,NE,0.16,1.77,990.52,0.0,1.02,0.0,0.0
2025/01/01,02:12 AM,4.56,4.39,99.0,ENE,0.64,1.77,990.52,0.0,1.02,0.0,0.0
2025/01/01,02:18 AM,4.61,4.44,99.0,NE,0.16,1.77,990.52,0.0,1.02,0.0,0.0
2025/01/01,02:23 AM,4.61,4.44,99.0,NE,0.0,0.97,990.18,0.0,1.02,0.0,0.0
2025/01/01,02:27 AM,4.61,4.44,99.0,NE,0.0,0.97,990.52,0.0,1.02,0.0,0.0
2025/01/01,02:34 AM,4.61,4.44,99.0,ENE,0.16,0.97,990.52,0.0,1.02,0.0,0.0
2025/01/01,02:38 AM,4.61,4.44,99.0,NE,0.0,3.54,990.52,0.0,1.02,0.0,0.0
2025/01/01,02:44 AM,4.67,4.5,99.0,NE,0.16,1.77,990.52,0.0,1.02,0.0,0.0
2025/01/01,02:47 AM,4.72,4.56,99.0,NE,1.13,1.77,990.52,0.0,1.02,0.0,0.0
2025/01/01,02:52 AM,4.72,4.56,99.0,NE,0.0,1.77,990.18,0.0,1.02,0.0,0.0
2025/01/01,02:58 AM,4.72,4.56,99.0,ENE,1.13,3.54,990.18,0.0,1.02,0.0,0.0
2025/01/01,03:04 AM,4.72,4.56,99.0,NE,0.48,1.77,990.18,0.0,1.02,0.0,0.0
2025/01/01,03:24 AM,4.78,4.61,99.0,NE,0.0,1.77,990.18,0.0,1.02,0.0,0.0
2025/01/01,03:29 AM,4.78,4.61,99.0,ENE,0.32,1.13,990.52,0.0,1.02,0.0,0.0
2025/01/01,03:33 AM,4.78,4.61,99.0,NE,0.0,0.0,990.52,1.27,1.27,0.0,0.0
2025/01/01,03:39 AM,4.72,4.56,99.0,NE,0.0,0.0,990.52,1.27,1.27,0.0,0.0
2025/01/01,03:44 AM,4.72,4.56,99.0,NE,0.0,0.0,990.52,1.27,1.27,0.0,0.0
2025/01/01,03:49 AM,4.72,4.56,99.0,NE,0.0,0.48,990.52,0.0,1.27,0.0,0.0
2025/01/01,03:52 AM,4.72,4.56,99.0,NE,0.0,0.0,990.52,0.0,1.27,0.0,0.0
2025/01/01,03:59 AM,4.78,4.61,99.0,NE,0.0,0.0,990.52,0.0,1.27,0.0,0.0
2025/01/01,04:03 AM,4.78,4.61,99.0,NE,0.0,0.0,990.52,0.0,1.27,0.0,0.0
2025/01/01,04:07 AM,4.78,4.61,99.0,ENE,0.48,2.74,990.18,0.0,1.27,0.0,0.0
2025/01/01,04:14 AM,4.78,4.61,99.0,ENE,0.97,1.77,990.18,0.0,1.27,0.0,0.0
2025/01/01,04:16 AM,4.72,4.56,99.0,NE,0.0,0.0,990.18,0.0,1.27,0.0,0.0
2025/01/01,04:24 AM,4.72,4.56,99.0,NE,0.0,0.0,990.18,0.0,1.27,0.0,0.0
2025/01/01,04:28 AM,4.72,4.56,99.0,NE,0.0,0.0,990.18,0.0,1.27,0.0,0.0
2025/01/01,04:34 AM,4.61,4.44,99.0,NE,0.0,0.0,990.18,0.0,1.27,0.0,0.0
2025/01/01,04:39 AM,4.61,4.44,99.0,NE,0.0,0.0,990.18,0.0,1.27,0.0,0.0
2025/01/01,04:43 AM,4.61,4.44,99.0,NE,0.0,0.0,990.18,0.0,1.27,0.0,0.0
2025/01/01,04:49 AM,4.61,4.44,99.0,NE,0.16,0.64,990.18,0.0,1.27,0.0,0.0
2025/01/01,04:59 AM,4.61,4.44,99.0,NE,0.0,0.0,989.84,0.0,1.27,0.0,0.0
2025/01/01,05:01 AM,4.5,4.33,99.0,NE,0.0,0.0,990.18,0.0,1.27,0.0,0.0
2025/01/01,05:09 AM,4.61,4.44,99.0,NE,0.0,0.0,990.18,0.0,1.27,0.0,0.0
2025/01/01,05:12 AM,4.61,4.44,99.0,NE,0.0,0.0,989.84,0.0,1.27,0.0,0.0
2025/01/01,05:16 AM,4.61,4.44,99.0,NE,0.0,0.0,989.84,0.0,1.27,0.0,0.0
2025/01/01,05:23 AM,4.5,4.33,99.0,NE,0.0,0.0,989.84,0.0,1.27,0.0,0.0
2025/01/01,05:29 AM,4.5,4.33,99.0,NE,0.0,0.97,989.5,0.0,1.27,0.0,0.0
2025/01/01,05:33 AM,4.5,4.33,99.0,NE,0.0,0.0,989.84,0.0,1.27,0.0,0.0
2025/01/01,05:39 AM,4.5,4.33,99.0,NE,0.0,0.0,989.5,0.0,1.27,0.0,0.0
2025/01/01,05:44 AM,4.44,4.28,99.0,ENE,0.32,0.32,989.84,0.0,1.27,0.0,0.0
2025/01/01,05:48 AM,4.39,4.22,99.0,NE,0.0,1.77,989.84,0.0,1.27,0.0,0.0
2025/01/01,05:54 AM,4.44,4.28,99.0,ENE,0.32,1.29,989.84,0.0,1.27,0.0,0.0
2025/01/01,05:55 AM,4.39,4.22,99.0,NE,0.32,1.77,989.84,0.0,1.27,0.0,0.0
2025/01/01,06:04 AM,4.44,4.28,99.0,NE,0.0,0.97,989.84,0.0,1.27,0.0,0.0
2025/01/01,06:06 AM,4.5,4.33,99.0,NE,0.0,1.77,989.84,0.0,1.27,0.0,0.0
2025/01/01,06:27 AM,4.61,4.44,99.0,NE,0.0,0.0,989.16,0.0,1.27,0.0,0.0
2025/01/01,06:33 AM,4.5,4.33,99.0,NE,0.0,1.77,989.84,0.0,1.27,0.0,0.0
2025/01/01,06:39 AM,4.61,4.44,99.0,NE,0.0,0.0,989.5,0.0,1.27,0.0,0.0
