Date,Time,Temperature_C,Dew_Point_C,Humidity_%,Wind,Speed_kmh,Gust_kmh,Pressure_hPa,Precip_Rate_mm,Precip_Accum_mm,UV,Solar_w/m2
2025/01/01,12:04 AM,5.0,4.5,96.0,NW,0.0,0.0,997.63,0.0,0.0,0.0,0.0
2025/01/01,12:09 AM,5.0,4.5,96.0,NW,0.0,0.0,997.63,0.0,0.0,0.0,0.0
2025/01/01,12:14 AM,5.0,4.5,96.0,NW,0.0,0.0,997.63,1.27,0.25,0.0,0.0
2025/01/01,12:19 AM,5.0,4.5,96.0,NW,0.0,0.0,997.63,1.27,0.25,0.0,0.0
2025/01/01,12:24 AM,5.0,4.5,96.0,NW,0.0,0.0,997.63,0.0,0.25,0.0,0.0
2025/01/01,12:29 AM,5.0,4.5,96.0,NW,0.0,0.0,997.63,0.0,0.25,0.0,0.0
2025/01/01,12:34 AM,5.0,4.5,96.0,NW,0.0,0.0,997.29,0.0,0.25,0.0,0.0
2025/01/01,12:39 AM,5.0,4.5,96.0,NW,0.0,0.0,997.63,0.0,0.25,0.0,0.0
2025/01/01,12:44 AM,5.0,4.56,97.0,NW,0.0,0.0,997.29,0.0,0.25,0.0,0.0
2025/01/01,12:49 AM,5.0,4.61,97.0,NW,0.0,0.0,997.29,0.0,0.25,0.0,0.0
2025/01/01,12:54 AM,5.0,4.61,97.0,NW,0.0,0.0,997.63,0.0,0.25,0.0,0.0
2025/01/01,12:59 AM,5.0,4.61,97.0,NW,0.0,0.0,997.29,0.0,0.25,0.0,0.0
2025/01/01,01:04 AM,5.0,4.61,97.0,NW,0.0,0.0,997.29,0.0,0.25,0.0,0.0
2025/01/01,01:09 AM,5.0,4.61,97.0,NW,0.0,0.0,997.63,0.0,0.25,0.0,0.0
2025/01/01,01:14 AM,5.0,4.61,97.0,NW,0.0,0.0,997.63,0.0,0.25,0.0,0.0
2025/01/01,01:19 AM,5.0,4.61,97.0,NW,0.0,0.0,997.29,0.0,0.25,0.0,0.0
2025/01/01,01:24 AM,5.0,4.61,97.0,NW,0.0,0.0,997.29,0.0,0.25,0.0,0.0
2025/01/01,01:29 AM,5.0,4.61,97.0,NW,0.0,0.0,997.29,0.0,0.25,0.0,0.0
2025/01/01,01:34 AM,5.06,4.67,97.0,NW,0.0,0.0,997.29,1.78,0.51,0.0,0.0
2025/01/01,01:39 AM,5.11,4.72,97.0,NW,0.0,0.0,997.29,1.78,0.51,0.0,0.0
2025/01/01,01:44 AM,5.11,4.72,97.0,NW,0.0,0.0,997.29,0.0,0.51,0.0,0.0
2025/01/01,01:49 AM,5.11,4.72,97.0,NW,0.0,0.0,997.29,0.0,0.51,0.0,0.0
2025/01/01,01:54 AM,5.11,4.72,97.0,NNW,0.0,0.0,997.29,0.0,0.51,0.0,0.0
2025/01/01,01:59 AM,5.11,4.72,97.0,NNW,0.0,0.8,997.29,0.0,0.51,0.0,0.0
2025/01/01,02:04 AM,5.11,4.72,97.0,NW,0.0,0.0,997.29,0.0,0.51,0.0,0.0
2025/01/01,02:09 AM,5.11,4.72,97.0,NW,0.0,0.0,997.29,0.0,0.51,0.0,0.0
2025/01/01,02:14 AM,5.11,4.72,97.0,NW,0.0,0.0,997.29,0.0,0.51,0.0,0.0
2025/01/01,02:19 AM,5.11,4.72,97.0,NW,0.0,0.0,997.29,0.0,0.51,0.0,0.0
2025/01/01,02:24 AM,5.11,4.72,97.0,NW,0.0,0.0,997.29,0.0,0.51,0.0,0.0
2025/01/01,02:29 AM,5.11,4.78,98.0,NW,0.0,0.0,997.63,0.0,0.51,0.0,0.0
2025/01/01,02:34 AM,5.11,4.78,98.0,NW,0.0,0.0,997.63,0.0,0.51,0.0,0.0
2025/01/01,02:39 AM,5.11,4.78,98.0,NW,0.0,0.64,997.29,0.0,0.51,0.0,0.0
2025/01/01,02:44 AM,5.11,4.78,98.0,NW,0.0,0.0,997.63,0.0,0.51,0.0,0.0
2025/01/01,02:49 AM,5.11,4.78,98.0,NW,0.0,0.0,997.63,0.0,0.51,0.0,0.0
2025/01/01,02:54 AM,5.22,4.89,98.0,NW,0.0,0.0,997.29,0.0,0.51,0.0,0.0
