Date,Time,Temperature_C,Dew_Point_C,Humidity_%,Wind,Speed_kmh,Gust_kmh,Pressure_hPa,Precip_Rate_mm,Precip_Accum_mm,UV,Solar_w/m2
2025/10/11,01:44 PM,15.44,10.22,71.0,SSE,3.7,6.44,998.65,0.0,0.25,1.0,177.8
2025/10/11,01:49 PM,15.39,10.33,72.0,SSW,2.25,5.79,998.31,0.0,0.25,1.0,144.4
2025/10/11,01:54 PM,15.33,10.22,72.0,WSW,3.22,6.92,998.65,0.0,0.25,1.0,103.6
2025/10/11,01:59 PM,15.06,10.11,72.0,WSW,2.74,7.56,998.65,0.0,0.25,0.0,76.7
2025/10/11,02:04 PM,15.06,10.11,72.0,West,3.7,7.4,998.31,0.0,0.25,0.0,94.9
2025/10/11,02:09 PM,14.94,10.0,72.0,SW,2.9,6.11,998.31,0.0,0.25,1.0,105.0
2025/10/11,02:14 PM,15.11,10.28,73.0,SW,0.32,2.74,998.31,0.0,0.25,1.0,104.1
2025/10/11,02:19 PM,15.33,10.56,73.0,SW,1.61,3.22,998.31,0.0,0.25,1.0,123.6
2025/10/11,02:24 PM,15.33,10.44,73.0,WSW,2.41,5.79,998.31,0.0,0.25,1.0,120.5
2025/10/11,02:29 PM,15.22,10.44,73.0,SW,1.77,4.67,998.31,0.0,0.25,1.0,165.3
2025/10/11,02:34 PM,15.28,10.44,73.0,WSW,2.09,4.34,998.31,0.0,0.25,1.0,173.8
2025/10/11,02:39 PM,15.5,10.61,72.0,WSW,2.9,4.34,998.31,0.0,0.25,1.0,173.5
2025/10/11,02:44 PM,15.44,10.5,72.0,WSW,2.9,7.08,998.31,0.0,0.25,1.0,182.5
2025/10/11,02:49 PM,15.56,10.67,73.0,SW,2.25,4.67,998.31,0.0,0.25,1.0,191.2
2025/10/11,02:54 PM,15.56,10.56,72.0,West,4.02,7.08,998.31,0.0,0.25,1.0,142.6
2025/10/11,02:59 PM,15.28,10.5,73.0,WSW,5.47,10.14,998.31,0.0,0.25,0.0,80.6
