Date,Time,Temperature_C,Dew_Point_C,Humidity_%,Wind,Speed_kmh,Gust_kmh,Pressure_hPa,Precip_Rate_mm,Precip_Accum_mm,UV,Solar_w/m2
2025/02/26,11:24 AM,13.17,4.33,55.0,SE,0.32,1.13,1007.79,0.0,0.25,2.0,276.4
2025/02/26,11:28 AM,13.17,4.33,55.0,NW,0.48,1.13,1007.45,0.0,0.25,3.0,278.5
2025/02/26,11:34 AM,13.11,4.94,58.0,,0.8,1.29,1007.79,0.0,0.25,2.0,284.8
2025/02/26,11:39 AM,13.5,4.72,55.0,SE,0.32,0.8,1007.45,0.0,0.25,3.0,285.7
2025/02/26,11:42 AM,13.5,4.78,56.0,NNE,0.8,1.29,1007.45,0.0,0.25,3.0,277.0
2025/02/26,11:49 AM,14.0,4.56,53.0,ESE,1.13,2.25,1007.45,0.0,0.25,3.0,283.0
2025/02/26,11:54 AM,14.06,4.33,52.0,,1.29,2.25,1007.45,0.0,0.25,3.0,280.8
2025/02/26,11:59 AM,13.89,4.33,53.0,,1.13,2.41,1007.45,0.0,0.25,3.0,283.3
2025/02/26,12:04 PM,14.17,4.78,53.0,East,0.8,1.45,1007.45,0.0,0.25,3.0,273.8
2025/02/26,12:09 PM,14.67,4.78,51.0,SSE,0.16,0.97,1007.11,0.0,0.25,3.0,280.6
2025/02/26,12:14 PM,14.94,4.94,51.0,ENE,0.48,1.45,1007.45,0.0,0.25,3.0,278.8
2025/02/26,12:19 PM,15.17,5.28,52.0,SE,0.64,1.45,1007.11,0.0,0.25,3.0,275.9
2025/02/26,12:24 PM,15.39,5.39,51.0,West,0.8,1.45,1007.45,0.0,0.25,3.0,274.7
2025/02/26,12:29 PM,15.33,5.33,51.0,WNW,1.13,1.77,1007.45,0.0,0.25,3.0,273.3
2025/02/26,12:34 PM,15.28,5.17,51.0,NNE,1.13,1.93,1007.11,0.0,0.25,3.0,273.8
2025/02/26,12:39 PM,15.39,5.44,51.0,WSW,0.64,1.45,1007.11,0.0,0.25,3.0,268.7
2025/02/26,12:44 PM,15.56,5.28,50.0,NE,1.13,2.25,1007.11,0.0,0.25,3.0,272.0
2025/02/26,12:49 PM,15.67,5.44,51.0,SSE,1.13,2.25,1007.11,0.0,0.25,3.0,269.6
2025/02/26,12:54 PM,15.83,5.39,50.0,South,1.13,2.25,1006.77,0.0,0.25,3.0,262.8
2025/02/26,12:59 PM,16.0,5.44,49.0,,0.8,1.77,1006.77,0.0,0.25,3.0,264.9
2025/02/26,01:04 PM,15.94,5.28,49.0,NNE,0.97,2.09,1006.77,0.0,0.25,3.0,265.4
2025/02/26,01:09 PM,15.44,5.33,51.0,NNW,0.64,1.13,1006.43,0.0,0.25,3.0,260.8
2025/02/26,01:14 PM,15.5,5.39,51.0,SSW,0.16,0.48,1006.43,0.0,0.25,3.0,278.5
2025/02/26,01:19 PM,15.44,5.39,51.0,SW,0.8,1.45,1006.43,0.0,0.25,3.0,341.9
2025/02/26,01:24 PM,16.0,5.61,50.0,SSE,0.97,1.93,1006.43,0.0,0.25,3.0,340.0
2025/02/26,01:29 PM,16.44,5.94,50.0,WNW,0.97,1.61,1006.43,0.0,0.25,3.0,280.1
2025/02/26,01:34 PM,15.89,5.56,50.0,ENE,0.8,1.13,1006.43,0.0,0.25,3.0,208.8
2025/02/26,01:39 PM,15.22,5.33,52.0,SSE,1.13,2.41,1006.43,0.0,0.25,3.0,224.0
2025/02/26,01:44 PM,14.56,5.33,54.0,NNE,0.32,0.97,1006.1,0.0,0.25,3.0,205.9
2025/02/26,01:49 PM,14.0,5.22,55.0,SE,0.48,1.77,1006.1,0.0,0.25,3.0,207.6
2025/02/26,01:54 PM,13.67,5.39,57.0,WNW,0.32,0.97,1006.1,0.0,0.25,3.0,206.6
2025/02/26,01:59 PM,13.67,5.56,58.0,NNE,0.48,0.97,1006.1,0.0,0.25,3.0,203.8
2025/02/26,02:04 PM,13.39,5.28,58.0,NNW,0.64,1.13,1006.1,0.0,0.25,3.0,206.2
2025/02/26,02:09 PM,13.33,5.33,58.0,North,0.32,1.29,1006.1,0.0,0.25,3.0,208.6
2025/02/26,02:14 PM,13.33,5.5,59.0,SE,0.64,1.61,1006.1,0.0,0.25,3.0,199.7
2025/02/26,02:19 PM,13.78,5.83,59.0,SW,0.64,1.45,1006.43,0.0,0.25,3.0,267.3
2025/02/26,02:24 PM,14.72,5.83,55.0,,0.48,1.45,1006.1,0.0,0.25,3.0,287.9
2025/02/26,02:29 PM,15.67,5.78,52.0,ENE,0.32,1.13,1006.1,0.0,0.25,3.0,287.3
2025/02/26,02:34 PM,16.06,6.11,52.0,ENE,0.32,0.64,1006.1,0.0,0.25,3.0,275.4
2025/02/26,02:39 PM,16.17,6.22,52.0,SW,0.32,1.13,1006.1,0.0,0.25,3.0,237.9
2025/02/26,02:44 PM,15.78,5.83,52.0,NNE,0.32,0.64,1006.1,0.0,0.25,3.0,153.8
2025/02/26,02:49 PM,14.78,5.67,54.0,ESE,0.0,0.0,1006.1,0.0,0.25,2.0,115.4
2025/02/26,02:54 PM,14.11,5.5,56.0,NNW,0.0,0.16,1006.1,0.0,0.25,2.0,97.4
2025/02/26,02:59 PM,13.67,5.5,58.0,NW,0.16,0.48,1005.76,0.0,0.25,2.0,87.5
2025/02/26,03:04 PM,13.28,5.72,60.0,SE,0.16,0.16,1005.76,0.0,0.25,1.0,87.1
2025/02/26,03:09 PM,13.06,5.67,61.0,South,0.16,0.16,1005.76,0.0,0.25,1.0,82.9
2025/02/26,03:14 PM,12.78,5.61,62.0,SSW,0.0,0.16,1005.76,0.0,0.25,2.0,81.3
2025/02/26,03:19 PM,12.67,5.5,62.0,NE,0.16,0.16,1005.76,0.0,0.25,1.0,79.3
2025/02/26,03:24 PM,12.72,5.72,63.0,ENE,0.0,0.16,1005.76,0.0,0.25,2.0,118.1
2025/02/26,03:29 PM,13.0,5.89,62.0,WSW,0.0,0.16,1006.1,0.0,0.25,2.0,151.8
2025/02/26,03:34 PM,13.5,5.78,60.0,NW,0.32,1.13,1005.76,0.0,0.25,2.0,157.0
2025/02/26,03:39 PM,13.72,5.83,59.0,SE,0.64,1.45,1005.76,0.0,0.25,2.0,158.0
2025/02/26,03:44 PM,13.94,6.06,59.0,NE,0.0,0.48,1005.76,0.0,0.25,2.0,137.7
2025/02/26,03:49 PM,14.17,5.61,56.0,SSW,0.16,0.48,1005.76,0.0,0.25,2.0,118.4
2025/02/26,03:54 PM,14.17,5.5,56.0,ENE,0.0,0.48,1005.76,0.0,0.25,2.0,109.1
2025/02/26,03:59 PM,14.17,5.28,55.0,ENE,0.32,0.97,1005.76,0.0,0.25,2.0,101.8
2025/02/26,04:04 PM,14.11,4.83,54.0,WSW,0.0,0.48,1005.76,0.0,0.25,2.0,91.2
2025/02/26,04:09 PM,14.11,5.11,55.0,SE,0.0,0.48,1005.76,0.0,0.25,1.0,67.9
2025/02/26,04:14 PM,14.06,4.56,53.0,,0.32,0.48,1005.76,0.0,0.25,1.0,58.0
2025/02/26,04:19 PM,13.94,4.5,53.0,South,0.32,0.97,1005.42,0.0,0.25,1.0,51.8
2025/02/26,04:24 PM,13.83,4.44,53.0,NE,0.0,0.16,1005.76,0.0,0.25,1.0,48.3
2025/02/26,04:29 PM,13.83,4.17,52.0,NW,0.32,0.97,1005.76,0.0,0.25,1.0,45.5
2025/02/26,04:34 PM,13.72,4.28,53.0,East,0.0,0.48,1005.76,0.0,0.25,1.0,41.1
2025/02/26,04:39 PM,13.56,4.0,52.0,North,0.48,0.97,1005.76,0.0,0.25,1.0,37.4
2025/02/26,04:44 PM,13.44,4.17,53.0,NE,0.0,0.16,1005.76,0.0,0.25,1.0,34.3
2025/02/26,04:49 PM,13.33,4.28,54.0,NW,0.48,1.45,1005.76,0.0,0.25,1.0,30.9
2025/02/26,04:54 PM,13.22,4.83,57.0,South,0.0,0.16,1005.76,0.0,0.25,1.0,29.4
2025/02/26,04:59 PM,13.06,4.61,57.0,ESE,0.0,0.48,1005.76,0.0,0.25,1.0,26.6
2025/02/26,05:04 PM,12.89,4.78,58.0,East,0.0,0.16,1005.76,0.0,0.25,1.0,25.8
2025/02/26,05:09 PM,12.72,4.72,58.0,SE,0.0,0.0,1005.42,0.0,0.25,1.0,22.7
2025/02/26,05:14 PM,12.5,4.94,60.0,ESE,0.0,0.0,1005.76,0.0,0.25,1.0,21.1
2025/02/26,05:19 PM,12.22,4.78,60.0,ESE,0.0,0.0,1005.76,0.0,0.25,1.0,19.1
2025/02/26,05:24 PM,11.94,4.83,62.0,ESE,0.0,0.0,1005.42,0.0,0.25,1.0,17.2
2025/02/26,05:29 PM,11.83,5.0,63.0,East,0.0,0.16,1005.76,0.0,0.25,1.0,15.2
2025/02/26,05:34 PM,11.78,4.89,63.0,ESE,0.0,0.16,1005.76,0.0,0.25,1.0,15.5
2025/02/26,05:39 PM,11.56,5.17,65.0,ESE,0.0,0.0,1005.76,0.0,0.25,1.0,13.0
2025/02/26,05:44 PM,11.33,4.94,65.0,SE,0.0,0.0,1005.76,0.0,0.25,1.0,11.3
2025/02/26,05:49 PM,11.22,4.61,64.0,SE,0.0,0.0,1005.42,0.0,0.25,1.0,9.4
2025/02/26,05:54 PM,11.06,4.72,65.0,SE,0.0,0.0,1005.76,0.0,0.25,0.0,6.9
2025/02/26,05:59 PM,10.72,4.78,67.0,SSE,0.0,0.0,1005.76,0.0,0.25,1.0,4.6
